Architect,Condition,Construction Date,Contributing to a National Register District,Current Function,Former Street Number,Historic Function,Integrity,Landmark or National Register,Listing in Existing Survey,National Register Criterion,Noteworthy Buildings Less Than 50 Years Old,PIN Number(s),Potentially Contributing to a  National Register District,Reason for Significance,Secondary Structure,Secondary Structure Condition,Secondary Structure Integrity,Significant,Street,Street Number,Survey Area,Alterations,Architect 1 Information,Architect 2 Information,Architectural Classification or Style,Category,Construction Cost,Contractor 1 Information,Contractor 2 Information,Current Name,Current Wall Material 1,Current Wall Material 2,Direction,Door,Door Detailing,Dormers,Foundation Material or Form,Historic Name,Landscape or Streetscape,Listed in an Existing Survey,Notes,Number of Stories,Origional Building Owner,Origional Wall Material 1,Origional Wall Material 2,Ornamentation,Permit,Porch,Preparer,Preparer Organization or Entity,Research or Archival Information,Roof Material,Roof Ornamentation,Roof Type,Significant Features,Storefront Material,Storm Door,Subdivision,Survey Date,Vernacular Styles or Building Form,Wall Detailing or Ornamentation,Window Configuration,Window Detail,Window Material 1,Window Material 2,Window Storms,Window Type
-,Excellent,1949,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-203-037-0000,Yes,-,Garage,Good,Good,No,William Street,1509,1,-,-,-,French Eclectic,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,1.5,-,-,-,turret entry,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 19 2012,L-Shaped Cottage/House,-,-,-,-,-,-,-
-,Good,1959,-,Multi Family Residential Building,-,Multi Family Residential Building,Good,No,-,-,-,15-01-203-036-0000,Yes,-,-,-,-,No,William Street,1531,1,-,-,-,Mid-Century Modern,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 19 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1955,-,Commercial Building,-,Commercial Building,Excellent,No,-,-,-,15-01-203-035-0000,Yes,-,-,-,-,No,North Avenue,737779,1,-,-,-,Mid-Century Modern,-,-,-,-,-,Stone,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,distinct angled storefronts,Aluminum Framing/Knee Walls,-,-,July 19 2012,One-Part Commercial,-,-,-,-,-,-,-
-,Excellent,1995,-,Single Family Residential Building,-,-,-,No,-,-,-,15-01-203-032-0000,No,-,Attached Garage,-,-,No,Clinton Place,1500,1,-,-,-,Late Modern Eclectic,-,-,-,-,-,Brick,EIFS,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 18 2012,-,-,-,-,-,-,-,-
-,Excellent,1940,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-203-031-0000,Yes,-,Garage,Excellent,Poor,No,Clinton Place,1506,1,sensitive rear addition,-,-,French Eclectic,-,-,-,-,-,Stone,-,-,-,-,-,-,-,-,-,-,2,-,-,-,bay window,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped with Cross Gable,-,-,-,-,July 18 2012,-,-,-,-,-,-,-,-
-,Good,1966,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-203-030-0000,No,-,Attached Garage,-,-,No,Clinton Place,1510,1,-,-,-,Late Modern Eclectic,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical porch,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 18 2012,-,-,-,-,-,-,-,-
-,Excellent,1951,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-203-029-0000,Yes,-,Attached Garage,-,-,No,Clinton Place,1514,1,-,-,-,Minimal Traditional,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,July 18 2012,-,-,-,-,-,-,-,-
-,Excellent,1953,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-203-028-0000,Yes,-,-,-,-,No,Clinton Place,1518,1,-,-,-,Minimal Traditional,-,-,-,-,-,Brick,Wood clapboard,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 18 2012,-,-,-,-,-,-,-,-
-,Excellent,1953,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-203-027-0000,Yes,-,Attached Garage,-,-,No,Clinton Place,1522,1,-,-,-,-,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 18 2012,Ranch,-,-,-,-,-,-,-
-,Excellent,1945,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-203-026-0000,Yes,-,-,-,-,No,Clinton Place,1526,1,-,-,-,French Eclectic,-,-,-,-,-,Stone,Brick,-,-,-,-,-,-,-,-,-,2,-,-,-,fan light entry transom,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 18 2012,-,-,-,-,-,-,-,-
-,Good,1954,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-203-025-0000,Yes,-,Garage,Good,Good,No,Clinton Place,1530,1,-,-,-,French Eclectic,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,bay window  stone entry surround,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 18 2012,-,-,-,-,-,-,-,-
-,Good,1950,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-203-024-0000,Yes,-,Garage,Good,Good,No,Clinton Place,1534,1,-,-,-,Mid-Century Modern,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,brick detailing,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 18 2012,-,-,-,-,-,-,-,-
-,Excellent,1940,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-203-020-0000,Yes,-,Attached Garage,-,-,No,William Street,1515,1,-,-,-,Minimal Traditional,-,-,-,-,-,Brick,Aluminum Siding,-,-,-,-,-,-,-,-,-,2,-,-,-,bay window,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 19 2012,-,-,-,-,-,-,-,-
-,Excellent,1977,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-203-019-0000,No,-,Attached Garage,-,-,No,William  Street,1519,1,-,-,-,Late Modern Eclectic,-,-,-,-,-,Brick,Wood clapboard,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 19 2012,-,-,-,-,-,-,-,-
-,Excellent,1951,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-203-018-0000,Yes,-,Attached Garage,-,-,No,William Street,1523,1,-,-,-,Minimal Traditional,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,-,-,Side Gabled,-,-,-,-,July 19 2012,-,-,-,-,-,-,-,-
-,Excellent,1951,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-203-017-0000,Yes,-,Attached Garage,-,-,No,William Street,1527,1,-,-,-,Minimal Traditional,-,-,-,-,-,Stone,Stucco,-,-,-,-,-,-,-,-,-,2,-,-,-,bay window,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 19 2012,-,-,-,-,-,-,-,-
Louis Balluff,Excellent,1950,-,Commercial Building,-,Commercial Building,Good,No,-,-,-,15-01-203-014-0000,No,-,-,-,-,No,North Avenue,7351,1,-,Louis Balluff,-,Minimal Traditional,-,-,M.P. Gauer,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 18 2012,Strip Commercial,-,-,-,-,-,-,-
-,Good,1962,-,Commercial Building,-,Commercial Building,Good,No,-,-,-,15-01-203-013-0000,Yes,-,-,-,-,No,North Avenue,7353,1,-,-,-,Mid-Century Modern,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 18 2012,Two-Part Commercial,-,-,-,-,-,-,-
R.J. McLaren,Good,1949,-,Commercial Building,-,Commercial Building,Poor,No,-,-,-,15-01-203-012-0000,No,-,-,-,-,No,North Avenue,7355,1,storefront infilled,-,-,-,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 18 2012,One-Part Commercial,-,-,-,-,-,-,-
-,Good,1954,-,Commercial Building,-,Commercial Building,Good,No,-,-,-,15-01-203-011-0000,No,-,-,-,-,No,North Avenue,7357,1,storefront altered,-,-,-,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 18 2012,Two-Part Commercial,-,-,-,-,-,-,-
-,Good,1953,-,Commercial Building,-,Commercial Building,Excellent,No,-,-,-,15-01-203-010-0000  15-01-203-009-0000  15-01-203-008-0000,Yes,-,-,-,-,No,North Avenue,735963,1,-,-,-,-,-,-,-,-,-,Stone,Brick,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Aluminum Framing/Knee Walls,-,-,July 18 2012,One-Part Commercial,-,-,-,-,-,-,-
-,Excellent,1956,-,Commercial Building,-,Commercial Building,Excellent,No,-,-,-,15-01-203-007-0000,Yes,-,-,-,-,No,North Avenue,7365,1,-,-,-,Mid-Century Modern,-,-,-,-,-,Stone,Brick,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Aluminum Framing/Knee Walls,-,-,July 18 2012,Two-Part Commercial,-,-,-,-,-,-,-
-,Good,1954,-,Commercial Building,-,Commercial Building,Excellent,No,-,-,-,15-01-203-006-0000,Yes,-,-,-,-,No,North Avenue,7367,1,-,-,-,-,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Aluminum Framing/Knee Walls,-,-,July 18 2012,Two-Part Commercial,-,-,-,-,-,-,-
-,Good,1959,-,Commercial Building,-,Commercial Building,Excellent,No,-,-,-,15-01-203-005-0000,Yes,-,-,-,-,No,North Avenue,7369,1,-,-,-,Mid-Century Modern,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Aluminum Framing/Knee Walls,-,-,July 18 2012,Two-Part Commercial,-,-,-,-,-,-,-
-,Excellent,1959,-,Commercial Building,-,Commercial Building,Good,No,-,-,-,15-01-203-004-0000  15-01-203-003-0000,Yes,-,-,-,-,No,North Avenue,737175,1,replacement storefront windows,-,-,-,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Aluminum Framing/Knee Walls,-,-,July 19 2012,Two-Part Commercial,-,-,-,-,-,-,-
B.J. Bruns,Good,1948 - 1950,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-202-030-1001,Yes,-,Attached Garage,-,-,No,Monroe Avenue,153157,1,-,Benedict J. Bruns,-,International Style,-,-,O.L. Besinger,Larsen & Bilz,Norway House Condos,Brick,-,-,-,Sidelights,-,-,-,-,-,"also 7417-27 North Avenue

complex has two buildings

Large  intact courtyard apartment building  one of the few mixed use buildings in River Forest  rare International Style example in town.",4+,-,Brick,-,brick corner quoins,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 20 2012,Courtyard Apartment,-,Multi-Paned,-,Metal,-,No,Casement
-,Excellent,1949,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-202-026-0000,Yes,-,Garage,Good,Good,No,Monroe Avenue,1511,1,-,-,-,Minimal Traditional,-,-,-,-,-,Stone,Aluminum Siding,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Good,1938,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-202-024-0000,Yes,-,Attached Garage,-,-,No,William Street,1500,1,-,-,-,Art Deco/Moderne,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,porthole window,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1955,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,C,-,15-01-202-023-0000,Yes,Excellent example of a modern Ranch with distinct roof lines and entry.,Attached Garage,-,-,Yes,William Street,1506,1,-,-,-,Mid-Century Modern,-,-,-,-,-,Stone,Brick,-,-,Surrounds,-,-,-,-,-,-,1,-,Stone,Brick,Decorative clapboards in gables,-,Full Height,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,Deep Eaves,Front Gabled,Entry porch  garage door,-,-,-,July 20 2012,Ranch,Bandboards,-,-,Metal,-,-,Louver
-,Excellent,1947,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-202-022-0000,Yes,-,Garage,Good,Excellent,No,William Street,1510,1,-,-,-,Minimal Traditional,-,-,-,-,-,Stone,Wood clapboard,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1948,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-202-021-0000,Yes,-,Attached Garage,-,-,No,William Street,1514,1,-,-,-,Minimal Traditional,-,-,-,-,-,Stone,Aluminum Siding,-,-,-,-,-,-,-,-,-,2,-,-,-,classical entry surround  bay window,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped with Cross Gable,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
Nicholas Marchese,Excellent,1969,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-202-020-0000,No,-,Attached Garage,-,-,No,William Street,1518,1,-,Nicholas J. Marchese,-,Late Modern Eclectic,-,-,-,-,-,Brick,Stucco,-,-,-,-,-,-,-,-,-,2,Champagne,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped with Cross Gable,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
Joseph Plepel,Excellent,1975,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-202-019-0000,No,-,Attached Garage,-,-,No,William Street,1522,1,-,Joseph Plepel,-,-,-,-,Droese Construction,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1,Dr. Sinha,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,July 20 2012,Ranch,-,-,-,-,-,-,-
Nicholas Marchese,Excellent,1968,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-202-018-0000,No,-,-,-,-,No,William Street,1526,1,-,Nicholas Marchese,-,Minimal Traditional,-,-,-,-,-,Stone,Brick,-,-,-,-,-,-,-,-,-,1,J. Cortina,-,-,bay window,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 20 2012,Ranch,-,-,-,-,-,-,-
-,Good,1953,-,Multi Family Residential Building,-,Multi Family Residential Building,Good,No,-,-,-,15-01-202-017-0000,Yes,-,-,-,-,No,William Street,1530,1,-,-,-,Mid-Century Modern,-,-,-,-,-,Brick,Wood clapboard,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 20 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1977,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-202-015-0000,No,-,Attached Garage,-,-,No,Monroe Avenue,1501,1,-,-,-,Late Modern Eclectic,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Mansard,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1942,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-202-014-0000,Yes,-,Attached Garage,-,-,No,Monroe Avenue,1503,1,-,-,-,Colonial Revival,-,-,-,-,-,Stone,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical portico,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Good,1946,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-202-012-0000,Yes,-,Attached Garage,-,-,No,Monroe Avenue,1515,1,loss of entry surround ,-,-,Minimal Traditional,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1953,-,Single Family Residential Building,-,Single Family Residential Building,Poor,No,-,-,-,15-01-202-011-0000,No,-,-,-,-,No,Monroe Avenue,1519,1,major 2nd floor and rear addition,-,-,-,-,-,-,-,-,Brick,EIFS,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1953,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-202-010-0000,Yes,-,Attached Garage,-,-,No,Monroe Avenue,1523,1,-,-,-,-,-,-,-,-,-,Stone,Brick,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 20 2012,Ranch,-,-,-,-,-,-,-
-,Good,1954,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-202-009-0000,Yes,-,Garage,Excellent,Poor,No,Monroe Avenue,1527,1,-,-,-,Minimal Traditional,-,-,-,-,-,Brick,Aluminum Siding,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1938,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-201-029-0000,Yes,-,-,-,-,No,Jackson Avenue,1523,1,-,-,-,French Eclectic,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,quoins ,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Hipped with Cross Gable,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
Louis Galante,Excellent,1965,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-201-028-0000,No,-,Attached Garage,-,-,No,Jackson Avenue,1527,1,-,Louis Galante,-,Minimal Traditional,-,-,-,-,-,Brick,Vinyl Siding,-,-,-,-,-,-,-,-,-,2,Mercati,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1980s     (1959),-,Commercial Building,-,-,Poor,No,-,-,-,15-01-201-025-0000,No,-,-,-,-,No,North Avenue,7501,1,-,-,-,-,-,-,-,-,-,Brick,EIFS,-,-,-,-,-,-,-,-,building my be older but facade is newer,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,-,-,Flat,-,-,-,-,July 20 2012,Strip Commercial,-,-,-,-,-,-,-
-,Excellent,1963,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-201-024-0000,Yes,-,Attached Garage,-,-,No,Monroe Avenue,1500,1,-,-,-,Mid-Century Modern,-,-,-,-,-,Brick,Concrete/Concrete Block,-,-,-,-,-,-,-,-,-,1,-,-,-,ornamental blocks,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,garden wall of ornamental concrete blocks,-,-,-,July 20 2012,Ranch,-,-,-,-,-,-,-
-,Good,1976,-,Single Family Residential Building,-,Single Family Residential Building,Poor,No,-,-,-,15-01-201-023-0000,No,-,Attached Garage,-,-,No,Monroe Avenue,1506,1,plywood siding added  may be a visible rear addition,-,-,Late Modern Eclectic,-,-,-,-,-,Brick,Wood clapboard,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1939,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-201-022-0000,Yes,-,Attached Garage,-,-,No,Monroe Avenue,1510,1,-,-,-,French Eclectic,-,-,-,-,-,Stone,Brick,-,-,-,-,-,-,-,-,-,1.5,-,-,-,carved stone at entry,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Cross gabled,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1939,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-201-021-0000,Yes,-,Attached Garage,-,-,No,Monroe Avenue,1514,1,-,-,-,French Eclectic,-,-,-,-,-,Stone,Brick,-,-,-,-,-,-,-,-,-,2,-,-,-,carved stone at entry,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Hipped,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1969,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,Yes,15-01-201-020-0000,No,excellent late modern style,Attached Garage,-,-,No,Monroe Avenue,1518,1,-,-,-,Late Modern Eclectic,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,Deep Eaves,Mansard,distinct roof and eaves,-,-,-,July 20 2012,Ranch,-,-,Paired,Wood,-,-,Louver
-,Excellent,1973,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-201-019-0000,No,-,Attached Garage,-,-,No,Monroe Avenue,1522,1,vertical wood siding  possible large 2nd floor addition,-,-,Late Modern Eclectic,-,-,-,-,-,Brick,Wood clapboard,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Good,1969,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-201-018-0000,No,-,Attached Garage,-,-,No,Monroe Avenue,1526,1,-,-,-,Mid-Century Modern,-,-,-,-,-,Brick,Stucco,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,July 20 2012,Ranch,-,-,-,-,-,-,-
-,Excellent,1950,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-201-015-0000,No,-,Garage,Good,Good,No,Jackson Avenue,1501,1,-,-,-,-,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped with Cross Gable,-,-,-,-,July 20 2012,Ranch,-,-,-,-,-,-,-
-,Excellent,1952,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-201-014-0000,No,-,Attached Garage,-,-,No,Jackson Avenue,1507,1,-,-,-,Minimal Traditional,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped with Cross Gable,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1942,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-201-013-0000,Yes,-,Garage,Good,Good,No,Jackson Avenue,1511,1,-,-,-,French Eclectic,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,quoins,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 20 2012,-,-,-,-,-,-,-,-
-,Excellent,1953,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-201-012-0000,Yes,-,Attached Garage,-,-,No,Jackson Avenue,1515,1,garage at front enlarged,-,-,-,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 20 2012,Ranch,-,-,-,-,-,-,-
-,Good,1953,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-201-011-0000,Yes,-,Attached Garage,-,-,No,Jackson Avenue,1519,1,-,-,-,-,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 20 2012,Ranch,-,-,-,-,-,-,-
